timestep_time;vehicle_angle;vehicle_id;vehicle_lane;vehicle_pos;vehicle_slope;vehicle_speed;vehicle_type;vehicle_x;vehicle_y
14.00;359.068729;12;211138994#0_0;9.944023;0.000000;3.444353;DEFAULT_VEHTYPE;9.230021;45.478664
14.00;359.134816;13;264485079#2_0;7.018951;0.000000;1.918951;DEFAULT_VEHTYPE;9.234372;45.477715
14.00;359.426270;2;264485089_0;62.068871;0.000000;12.982201;DEFAULT_VEHTYPE;9.234402;45.474871
14.00;89.660807;3;329092952_0;129.507616;0.000000;21.012826;DEFAULT_VEHTYPE;9.228696;45.479237
14.00;359.426270;4;264485089_0;27.599930;0.000000;8.833250;DEFAULT_VEHTYPE;9.234405;45.474561
14.00;359.016842;5;263965140#3_0;2.488978;0.000000;11.230333;DEFAULT_VEHTYPE;9.230040;45.477742
14.00;178.954203;6;-263965140#3_0;70.961477;0.000000;13.580774;DEFAULT_VEHTYPE;9.229997;45.477845
14.00;358.954203;7;263965140#3_0;52.701072;0.000000;11.452935;DEFAULT_VEHTYPE;9.230030;45.478194
14.00;269.433473;8;-60361104#3_0;54.359809;0.000000;12.008122;DEFAULT_VEHTYPE;9.231522;45.476946
14.00;359.426270;9;264485089_0;6.567539;0.000000;1.467539;DEFAULT_VEHTYPE;9.234407;45.474372
15.00;359.217085;0;264485089_0;162.871715;0.000000;13.675925;DEFAULT_VEHTYPE;9.234394;45.475779
15.00;359.741021;1;264485089_0;109.623134;0.000000;12.804762;DEFAULT_VEHTYPE;9.234399;45.475299
15.00;89.660807;10;329092952_0;36.806358;0.000000;10.493734;DEFAULT_VEHTYPE;9.227509;45.479235
15.00;269.433473;11;-60361104#3_0;25.281277;0.000000;7.937404;DEFAULT_VEHTYPE;9.231894;45.476948
15.00;359.068729;12;211138994#0_0;15.029758;0.000000;5.085735;DEFAULT_VEHTYPE;9.230020;45.478710
15.00;359.134816;13;264485079#2_0;10.660076;0.000000;3.641125;DEFAULT_VEHTYPE;9.234371;45.477748
15.00;269.430339;15;-60361104#6_0;5.100000;0.000000;0.000000;DEFAULT_VEHTYPE;9.234163;45.476959
15.00;359.426270;2;264485089_0;75.608235;0.000000;13.539364;DEFAULT_VEHTYPE;9.234401;45.474993
15.00;89.660807;3;329092952_0;151.996298;0.000000;22.488683;DEFAULT_VEHTYPE;9.228983;45.479238
15.00;359.426270;4;264485089_0;38.569089;0.000000;10.969159;DEFAULT_VEHTYPE;9.234404;45.474660
15.00;358.954203;5;263965140#3_0;13.775726;0.000000;11.286749;DEFAULT_VEHTYPE;9.230038;45.477844
15.00;178.958262;6;:6332832953_4_0;0.164646;0.000000;14.123169;DEFAULT_VEHTYPE;9.230000;45.477718
15.00;358.954203;7;263965140#3_0;63.733523;0.000000;11.032451;DEFAULT_VEHTYPE;9.230028;45.478293
15.00;269.433473;8;-60361104#3_0;67.210053;0.000000;12.850243;DEFAULT_VEHTYPE;9.231357;45.476945
15.00;359.426270;9;264485089_0;9.358745;0.000000;2.791206;DEFAULT_VEHTYPE;9.234407;45.474397
16.00;359.217085;0;264485089_0;176.861476;0.000000;13.989761;DEFAULT_VEHTYPE;9.234392;45.475905
16.00;359.741021;1;264485089_0;122.316989;0.000000;12.693855;DEFAULT_VEHTYPE;9.234399;45.475414
16.00;89.660807;10;329092952_0;48.878577;0.000000;12.072219;DEFAULT_VEHTYPE;9.227664;45.479235
16.00;269.433473;11;-60361104#3_0;34.643670;0.000000;9.362393;DEFAULT_VEHTYPE;9.231774;45.476947
16.00;359.068729;12;211138994#0_0;22.263448;0.000000;7.233689;DEFAULT_VEHTYPE;9.230018;45.478775
16.00;359.134816;13;264485079#2_0;16.303573;0.000000;5.643498;DEFAULT_VEHTYPE;9.234370;45.477799
16.00;359.134816;14;264485079#2_0;5.100000;0.000000;0.000000;DEFAULT_VEHTYPE;9.234372;45.477698
16.00;269.430339;15;-60361104#6_0;6.991703;0.000000;1.891703;DEFAULT_VEHTYPE;9.234138;45.476959
16.00;179.459490;16;-264479892#1_0;5.100000;0.000000;0.000000;DEFAULT_VEHTYPE;9.234309;45.479387
16.00;359.594134;2;264485089_0;89.551126;0.000000;13.942891;DEFAULT_VEHTYPE;9.234400;45.475119
16.00;89.660807;3;329092952_0;175.026465;0.000000;23.030166;DEFAULT_VEHTYPE;9.229278;45.479239
16.00;359.426270;4;264485089_0;51.693787;0.000000;13.124698;DEFAULT_VEHTYPE;9.234403;45.474778
16.00;358.954203;5;263965140#3_0;24.067266;0.000000;10.291539;DEFAULT_VEHTYPE;9.230036;45.477936
16.00;179.208794;6;-263965140#2_0;7.760826;0.000000;13.806180;DEFAULT_VEHTYPE;9.230002;45.477593
16.00;358.954203;7;263965140#3_0;75.794491;0.000000;12.060968;DEFAULT_VEHTYPE;9.230026;45.478402
16.00;269.433473;8;-60361104#3_0;79.784508;0.000000;12.574455;DEFAULT_VEHTYPE;9.231197;45.476944
16.00;359.426270;9;264485089_0;13.958308;0.000000;4.599563;DEFAULT_VEHTYPE;9.234407;45.474438
17.00;359.415655;0;264485089_0;191.519848;0.000000;14.658372;DEFAULT_VEHTYPE;9.234391;45.476036
17.00;359.217085;1;264485089_0;134.106981;0.000000;11.789992;DEFAULT_VEHTYPE;9.234398;45.475520
17.00;89.660807;10;329092952_0;63.237992;0.000000;14.359415;DEFAULT_VEHTYPE;9.227848;45.479235
17.00;269.433473;11;-60361104#3_0;46.308340;0.000000;11.664670;DEFAULT_VEHTYPE;9.231625;45.476947
17.00;359.068729;12;211138994#0_0;31.878368;0.000000;9.614921;DEFAULT_VEHTYPE;9.230017;45.478861
17.00;359.164840;13;264485079#2_0;24.388656;0.000000;8.085082;DEFAULT_VEHTYPE;9.234369;45.477871
17.00;359.134816;14;264485079#2_0;7.299670;0.000000;2.199670;DEFAULT_VEHTYPE;9.234372;45.477718
17.00;269.430339;15;-60361104#6_0;11.223505;0.000000;4.231801;DEFAULT_VEHTYPE;9.234084;45.476959
17.00;179.463773;16;-264479892#1_0;7.059211;0.000000;1.959211;DEFAULT_VEHTYPE;9.234309;45.479369
17.00;89.430440;17;60361104#5_0;5.100000;0.000000;0.000000;DEFAULT_VEHTYPE;9.232474;45.476922
17.00;359.741021;2;264485089_0;103.394399;0.000000;13.843272;DEFAULT_VEHTYPE;9.234400;45.475243
17.00;89.660807;3;329092952_0;194.178693;0.000000;19.152228;DEFAULT_VEHTYPE;9.229523;45.479239
17.00;359.426270;4;264485089_0;65.625990;0.000000;13.932203;DEFAULT_VEHTYPE;9.234402;45.474903
17.00;358.954203;5;263965140#3_0;35.148587;0.000000;11.081321;DEFAULT_VEHTYPE;9.230034;45.478036
17.00;179.208794;6;-263965140#2_0;21.028497;0.000000;13.267671;DEFAULT_VEHTYPE;9.230004;45.477474
17.00;358.954203;7;263965140#3_0;83.355459;0.000000;7.560968;DEFAULT_VEHTYPE;9.230024;45.478470
17.00;269.433473;8;-60361104#3_0;91.750485;0.000000;11.965978;DEFAULT_VEHTYPE;9.231043;45.476944
17.00;359.426270;9;264485089_0;20.526626;0.000000;6.568319;DEFAULT_VEHTYPE;9.234406;45.474497
18.00;359.207076;0;264485089_0;205.918858;0.000000;14.399010;DEFAULT_VEHTYPE;9.234389;45.476166
18.00;359.217085;1;264485089_0;146.799618;0.000000;12.692637;DEFAULT_VEHTYPE;9.234396;45.475634
18.00;89.660807;10;329092952_0;79.822819;0.000000;16.584827;DEFAULT_VEHTYPE;9.228060;45.479236
18.00;269.433473;11;-60361104#3_0;60.338637;0.000000;14.030296;DEFAULT_VEHTYPE;9.231445;45.476946
18.00;359.068729;12;211138994#0_0;43.204447;0.000000;11.326079;DEFAULT_VEHTYPE;9.230015;45.478963
18.00;359.181786;13;264485079#2_0;34.355975;0.000000;9.967320;DEFAULT_VEHTYPE;9.234367;45.477961
18.00;359.134816;14;264485079#2_0;11.766041;0.000000;4.466372;DEFAULT_VEHTYPE;9.234371;45.477758
18.00;269.430339;15;-60361104#6_0;16.780874;0.000000;5.557370;DEFAULT_VEHTYPE;9.234013;45.476958
18.00;179.471662;16;-264479892#1_0;11.502704;0.000000;4.443494;DEFAULT_VEHTYPE;9.234309;45.479329
18.00;89.430440;17;60361104#5_0;7.315581;0.000000;2.215581;DEFAULT_VEHTYPE;9.232503;45.476922
18.00;269.433473;18;-60361104#3_0;5.100000;0.000000;0.000000;DEFAULT_VEHTYPE;9.232152;45.476949
18.00;359.741021;2;264485089_0;117.306896;0.000000;13.912498;DEFAULT_VEHTYPE;9.234399;45.475369
18.00;89.660807;3;329092952_0;209.643247;0.000000;15.464554;DEFAULT_VEHTYPE;9.229721;45.479240
18.00;359.426270;4;264485089_0;79.483244;0.000000;13.857254;DEFAULT_VEHTYPE;9.234401;45.475028
18.00;358.954203;5;263965140#3_0;45.551166;0.000000;10.402580;DEFAULT_VEHTYPE;9.230032;45.478130
18.00;179.208794;6;-263965140#2_0;35.013804;0.000000;13.985307;DEFAULT_VEHTYPE;9.230006;45.477348
18.00;346.724831;7;:249177474_7_0;1.669373;0.000000;3.233914;DEFAULT_VEHTYPE;9.230011;45.478496
18.00;269.439696;8;-60361104#2_0;2.520265;0.000000;12.199780;DEFAULT_VEHTYPE;9.230887;45.476943
18.00;359.426270;9;264485089_0;28.674684;0.000000;8.148057;DEFAULT_VEHTYPE;9.234405;45.474571
19.00;359.207076;0;264485089_0;219.373541;0.000000;13.454683;DEFAULT_VEHTYPE;9.234387;45.476287
19.00;359.217085;1;264485089_0;159.418052;0.000000;12.618433;DEFAULT_VEHTYPE;9.234394;45.475748
19.00;89.660807;10;329092952_0;98.511334;0.000000;18.688515;DEFAULT_VEHTYPE;9.228299;45.479236
19.00;269.433473;11;-60361104#3_0;74.231288;0.000000;13.892651;DEFAULT_VEHTYPE;9.231268;45.476945
19.00;359.068729;12;211138994#0_0;54.924081;0.000000;11.719633;DEFAULT_VEHTYPE;9.230013;45.479069
19.00;359.181786;13;264485079#2_0;46.209930;0.000000;11.853955;DEFAULT_VEHTYPE;9.234366;45.478068
19.00;359.134816;14;264485079#2_0;18.757739;0.000000;6.991698;DEFAULT_VEHTYPE;9.234370;45.477821
19.00;269.430339;15;-60361104#6_0;23.729228;0.000000;6.948354;DEFAULT_VEHTYPE;9.233924;45.476958
19.00;179.471662;16;-264479892#1_0;17.328053;0.000000;5.825349;DEFAULT_VEHTYPE;9.234310;45.479276
19.00;89.430440;17;60361104#5_0;12.045586;0.000000;4.730005;DEFAULT_VEHTYPE;9.232563;45.476922
19.00;269.433473;18;-60361104#3_0;7.278310;0.000000;2.178310;DEFAULT_VEHTYPE;9.232124;45.476949
19.00;359.217085;2;264485089_0;130.642134;0.000000;13.335238;DEFAULT_VEHTYPE;9.234398;45.475489
19.00;89.660807;3;329092952_0;220.607800;0.000000;10.964554;DEFAULT_VEHTYPE;9.229861;45.479240
19.00;359.741021;4;264485089_0;93.616122;0.000000;14.132878;DEFAULT_VEHTYPE;9.234400;45.475155
19.00;358.954203;5;263965140#3_0;57.047883;0.000000;11.496717;DEFAULT_VEHTYPE;9.230030;45.478233
19.00;179.208794;6;-263965140#2_0;48.536131;0.000000;13.522326;DEFAULT_VEHTYPE;9.230008;45.477226
19.00;288.316272;7;:249177474_17_0;1.941597;0.000000;2.612224;DEFAULT_VEHTYPE;9.229986;45.478487
19.00;269.428140;8;-60361104#2_0;15.497423;0.000000;12.977157;DEFAULT_VEHTYPE;9.230721;45.476942
19.00;359.426270;9;264485089_0;38.960501;0.000000;10.285818;DEFAULT_VEHTYPE;9.234404;45.474663
20.00;359.207076;0;264485089_0;233.155944;0.000000;13.782403;DEFAULT_VEHTYPE;9.234385;45.476411
