timestep_time;vehicle_angle;vehicle_id;vehicle_lane;vehicle_pos;vehicle_slope;vehicle_speed;vehicle_type;vehicle_x;vehicle_y
41.00;359.10;t_1;211138994#0_0;66.49;0.00;0.00;DEFAULT_VEHTYPE;257.99;539.84
41.00;359.47;t_2;264479892_0;36.27;0.00;12.96;DEFAULT_VEHTYPE;597.10;513.98
41.00;179.44;t_3;-19831701_0;91.65;0.00;0.00;DEFAULT_VEHTYPE;254.45;569.24
42.00;359.10;t_1;211138994#0_0;66.49;0.00;0.00;DEFAULT_VEHTYPE;257.99;539.84
42.00;359.47;t_2;264479892_0;48.73;0.00;12.46;DEFAULT_VEHTYPE;596.98;526.44
42.00;179.44;t_3;-19831701_0;91.65;0.00;0.00;DEFAULT_VEHTYPE;254.45;569.24
43.00;359.10;t_1;211138994#0_0;66.49;0.00;0.00;DEFAULT_VEHTYPE;257.99;539.84
43.00;359.47;t_2;264479892_0;60.47;0.00;11.74;DEFAULT_VEHTYPE;596.87;538.18
43.00;179.44;t_3;-19831701_0;91.65;0.00;0.00;DEFAULT_VEHTYPE;254.45;569.24
44.00;359.10;t_1;211138994#0_0;66.49;0.00;0.00;DEFAULT_VEHTYPE;257.99;539.84
44.00;359.47;t_2;264479892_0;72.49;0.00;12.03;DEFAULT_VEHTYPE;596.76;550.20
44.00;179.44;t_3;-19831701_0;91.65;0.00;0.00;DEFAULT_VEHTYPE;254.45;569.24
45.00;0.17;t_1;:cluster_206146391_206146658_355348355_4_0;0.63;0.00;1.63;DEFAULT_VEHTYPE;258.05;541.46
45.00;359.47;t_2;264479892_0;84.26;0.00;11.77;DEFAULT_VEHTYPE;596.65;561.97
45.00;177.83;t_3;:cluster_206146391_206146658_355348355_14_0;1.32;0.00;2.33;DEFAULT_VEHTYPE;254.62;566.93
46.00;11.58;t_1;:cluster_206146391_206146658_355348355_4_0;3.81;0.00;3.18;DEFAULT_VEHTYPE;258.97;544.44
46.00;359.33;t_2;:2701578578_0_0;10.79;0.00;12.02;DEFAULT_VEHTYPE;596.50;573.99
46.00;173.13;t_3;:cluster_206146391_206146658_355348355_14_0;5.05;0.00;3.73;DEFAULT_VEHTYPE;255.06;563.23
47.00;63.75;t_1;:cluster_206146391_206146658_355348355_4_0;8.63;0.00;4.82;DEFAULT_VEHTYPE;263.13;546.39
